,AGORA ID,bipartisanship,policy_area,n_cosponsors,n_D,n_R
0,1,0.5,Armed Forces and National Security,2,1,1
1,2,0.5,Armed Forces and National Security,2,1,1
2,3,0.5,Armed Forces and National Security,2,1,1
3,4,0.5,Armed Forces and National Security,2,1,1
4,5,0.3333333333333333,Armed Forces and National Security,3,1,2
5,6,0.3333333333333333,Armed Forces and National Security,3,1,2
6,7,0.3333333333333333,Armed Forces and National Security,3,1,2
7,8,0.3333333333333333,Armed Forces and National Security,3,1,2
8,9,0.3333333333333333,Armed Forces and National Security,3,1,2
9,10,0.3333333333333333,Armed Forces and National Security,3,1,2
10,11,0.3333333333333333,Armed Forces and National Security,3,1,2
11,12,0.3333333333333333,Armed Forces and National Security,3,1,2
12,13,0.3333333333333333,Armed Forces and National Security,3,1,2
13,14,0.3333333333333333,Armed Forces and National Security,3,1,2
14,15,0.3333333333333333,Armed Forces and National Security,3,1,2
15,16,0.3333333333333333,Armed Forces and National Security,3,1,2
16,17,0.3333333333333333,Armed Forces and National Security,3,1,2
17,26,0.0,Environmental Protection,3,0,2
18,27,0.0,Government Operations and Politics,1,0,1
19,28,0.3333333333333333,Crime and Law Enforcement,3,2,1
20,29,0.0,Armed Forces and National Security,1,0,1
21,34,0.3333333333333333,Public Lands and Natural Resources,3,2,1
22,52,0.42857142857142855,Economics and Public Finance,7,3,4
23,54,0.5,Economics and Public Finance,2,1,1
24,55,0.5,Economics and Public Finance,2,1,1
25,56,0.0,Transportation and Public Works,5,5,0
26,57,0.0,Transportation and Public Works,5,5,0
27,58,0.0,Transportation and Public Works,5,5,0
28,60,0.0,"Science, Technology, Communications",1,0,1
29,61,0.25,Economics and Public Finance,4,3,1
30,63,0.25,Economics and Public Finance,4,3,1
31,64,0.25,Economics and Public Finance,4,3,1
32,65,0.25,Economics and Public Finance,4,3,1
33,66,0.25,Economics and Public Finance,4,3,1
34,67,0.25,Economics and Public Finance,4,3,1
35,68,0.25,Economics and Public Finance,4,3,1
36,69,0.25,Economics and Public Finance,4,3,1
37,70,0.3333333333333333,Government Operations and Politics,3,1,2
38,89,0.17647058823529413,"Science, Technology, Communications",68,56,12
39,162,0.0,Transportation and Public Works,5,5,0
40,163,0.0,Transportation and Public Works,5,5,0
41,164,0.0,Transportation and Public Works,5,5,0
42,165,0.0,Transportation and Public Works,5,5,0
43,186,0.0,Armed Forces and National Security,1,1,0
44,187,0.0,Armed Forces and National Security,1,1,0
45,188,0.0,Armed Forces and National Security,1,1,0
46,189,0.0,Armed Forces and National Security,1,1,0
47,190,0.0,Armed Forces and National Security,1,1,0
48,191,0.0,Armed Forces and National Security,1,1,0
49,192,0.0,Armed Forces and National Security,1,1,0
50,193,0.0,Armed Forces and National Security,1,1,0
51,194,0.0,Armed Forces and National Security,1,1,0
52,195,0.0,Armed Forces and National Security,1,1,0
53,196,0.0,Armed Forces and National Security,1,1,0
54,197,0.0,Armed Forces and National Security,1,1,0
55,198,0.0,Armed Forces and National Security,1,1,0
56,199,0.0,Armed Forces and National Security,1,1,0
57,200,0.0,Armed Forces and National Security,1,1,0
58,201,0.0,Armed Forces and National Security,1,1,0
59,202,0.0,Armed Forces and National Security,1,1,0
60,203,0.0,Armed Forces and National Security,1,1,0
61,204,0.0,Armed Forces and National Security,1,1,0
62,205,0.0,Armed Forces and National Security,1,1,0
63,211,0.5,Armed Forces and National Security,2,1,1
64,212,0.5,Armed Forces and National Security,2,1,1
65,213,0.5,Armed Forces and National Security,2,1,1
66,214,0.5,Armed Forces and National Security,2,1,1
67,215,0.5,Armed Forces and National Security,2,1,1
68,216,0.5,Armed Forces and National Security,2,1,1
69,217,0.5,Armed Forces and National Security,2,1,1
70,218,0.5,Armed Forces and National Security,2,1,1
71,223,0.3333333333333333,Armed Forces and National Security,3,1,2
72,224,0.3333333333333333,Armed Forces and National Security,3,1,2
73,225,0.3333333333333333,Armed Forces and National Security,3,1,2
74,226,0.3333333333333333,Armed Forces and National Security,3,1,2
75,227,0.3333333333333333,Armed Forces and National Security,3,1,2
76,228,0.3333333333333333,Armed Forces and National Security,3,1,2
77,229,0.3333333333333333,Armed Forces and National Security,3,1,2
78,230,0.3333333333333333,Armed Forces and National Security,3,1,2
79,231,0.3333333333333333,Armed Forces and National Security,3,1,2
80,232,0.3333333333333333,Armed Forces and National Security,3,1,2
81,233,0.3333333333333333,Armed Forces and National Security,3,1,2
82,234,0.3333333333333333,Armed Forces and National Security,3,1,2
83,235,0.3333333333333333,Armed Forces and National Security,3,1,2
84,236,0.3333333333333333,Armed Forces and National Security,3,1,2
85,237,0.3333333333333333,Armed Forces and National Security,3,1,2
86,238,0.3333333333333333,Armed Forces and National Security,3,1,2
87,239,0.3333333333333333,Armed Forces and National Security,3,1,2
88,240,0.0,Armed Forces and National Security,1,1,0
89,241,0.0,Armed Forces and National Security,1,1,0
90,275,0.0,Armed Forces and National Security,3,2,0
91,288,0.0,Labor and Employment,4,3,0
92,315,0.4,Health,5,2,3
93,320,0.25,Agriculture and Food,8,2,6
94,323,0.2857142857142857,Transportation and Public Works,7,2,5
95,326,0.0,Armed Forces and National Security,1,1,0
96,327,0.0,Commerce,1,0,1
97,328,0.0,Commerce,1,0,1
98,394,0.0,Armed Forces and National Security,1,1,0
99,395,0.42857142857142855,"Science, Technology, Communications",7,4,3
100,396,0.5,"Science, Technology, Communications",2,1,1
101,397,0.0,Government Operations and Politics,1,1,0
102,398,0.0,"Science, Technology, Communications",1,1,0
103,399,0.25,Armed Forces and National Security,4,3,1
104,400,0.0,Environmental Protection,4,4,0
105,401,0.3333333333333333,International Affairs,9,3,6
106,402,0.17647058823529413,"Science, Technology, Communications",68,56,12
107,403,0.0,Armed Forces and National Security,1,0,1
108,405,0.42857142857142855,Armed Forces and National Security,7,4,3
109,406,0.4,"Science, Technology, Communications",5,2,3
110,408,0.0,Health,1,1,0
111,410,0.5,Health,2,1,1
112,411,0.3333333333333333,"Science, Technology, Communications",3,1,2
113,414,0.0,"Civil Rights and Liberties, Minority Issues",7,7,0
114,415,0.0,Commerce,6,6,0
115,416,0.0,Crime and Law Enforcement,1,1,0
116,418,0.0,Commerce,11,11,0
117,420,0.5,Armed Forces and National Security,2,1,1
118,432,0.0,Government Operations and Politics,1,0,1
119,433,0.4,Finance and Financial Sector,10,6,4
120,435,0.2857142857142857,"Science, Technology, Communications",7,5,2
121,436,0.0,Commerce,4,4,0
122,437,0.0,Government Operations and Politics,1,0,1
123,438,0.0,"Science, Technology, Communications",2,0,2
124,439,0.3333333333333333,Commerce,9,6,3
125,441,0.0,Commerce,7,0,7
126,443,0.16666666666666666,Environmental Protection,6,1,5
127,444,0.3333333333333333,"Science, Technology, Communications",3,1,2
128,448,0.0,Commerce,1,1,0
129,449,0.0,Finance and Financial Sector,1,0,1
130,450,0.5,"Science, Technology, Communications",10,5,5
131,452,0.16666666666666666,Labor and Employment,6,1,5
132,453,0.375,"Science, Technology, Communications",8,5,3
133,456,0.0,Government Operations and Politics,9,9,0
134,457,0.0,Labor and Employment,5,4,0
135,460,0.3333333333333333,Agriculture and Food,3,2,1
136,461,0.5,Commerce,4,2,2
137,462,0.4,"Science, Technology, Communications",5,2,3
138,466,0.16666666666666666,Agriculture and Food,6,1,5
139,467,0.0,Government Operations and Politics,2,2,0
140,468,0.3,Agriculture and Food,10,7,3
141,471,0.0,Commerce,3,3,0
142,473,0.0,"Science, Technology, Communications",1,1,0
143,481,0.5,Commerce,10,5,5
144,483,0.0,Commerce,3,3,0
145,484,0.0,Armed Forces and National Security,2,2,0
146,485,0.48,Foreign Trade and International Finance,26,12,13
147,487,0.0,"Science, Technology, Communications",1,0,1
148,489,0.0,"Science, Technology, Communications",1,0,1
149,494,0.0,Labor and Employment,4,4,0
150,500,0.0,Commerce,3,3,0
151,504,0.0,Health,1,0,1
152,508,0.0,International Affairs,1,0,1
153,510,0.2727272727272727,Education,11,8,3
154,515,0.25,"Science, Technology, Communications",4,3,1
155,517,0.4,Government Operations and Politics,5,2,3
156,519,0.0,"Science, Technology, Communications",2,0,2
157,520,0.25,Crime and Law Enforcement,4,1,3
158,522,0.16666666666666666,Foreign Trade and International Finance,6,5,1
159,529,0.25,Transportation and Public Works,4,3,1
160,530,0.0,Energy,1,1,0
161,531,0.42857142857142855,Crime and Law Enforcement,8,4,3
162,532,0.0,"Science, Technology, Communications",1,0,1
163,533,0.0,"Science, Technology, Communications",1,0,1
164,534,0.5,Armed Forces and National Security,9,4,4
165,539,0.03571428571428571,Education,28,27,1
166,540,0.2,"Science, Technology, Communications",10,2,8
167,541,0.0,Labor and Employment,4,4,0
168,546,0.3333333333333333,Commerce,3,1,2
169,554,0.3333333333333333,Commerce,3,1,2
170,556,0.0,Emergency Management,10,0,10
171,557,0.4444444444444444,Commerce,9,5,4
172,566,0.0,Commerce,9,9,0
173,568,0.0,Commerce,3,3,0
174,571,0.0,Government Operations and Politics,2,0,2
175,573,0.42857142857142855,"Science, Technology, Communications",7,4,3
176,576,0.4,Crime and Law Enforcement,5,3,2
177,580,0.0,Commerce,13,13,0
178,582,0.5,Environmental Protection,2,1,1
179,583,0.20833333333333334,Health,24,19,5
180,591,0.0,Education,2,2,0
181,592,0.0,"Science, Technology, Communications",1,1,0
182,593,0.417910447761194,Health,67,28,39
183,596,0.3333333333333333,Public Lands and Natural Resources,12,4,8
184,597,0.0,Government Operations and Politics,2,2,0
185,601,0.5,Finance and Financial Sector,2,1,1
186,604,0.0,Commerce,19,19,0
187,607,0.4,Public Lands and Natural Resources,5,2,3
188,611,0.3333333333333333,Commerce,3,2,1
189,614,0.0,Finance and Financial Sector,7,0,7
190,615,0.4375,International Affairs,16,7,9
191,617,0.5,Health,2,1,1
192,637,0.0,Crime and Law Enforcement,5,5,0
193,641,0.0,Commerce,7,7,0
194,652,0.0,Immigration,10,10,0
195,655,0.3333333333333333,"Science, Technology, Communications",3,2,1
196,657,0.0,Agriculture and Food,2,2,0
197,659,0.0,"Science, Technology, Communications",4,0,4
198,660,0.2777777777777778,Agriculture and Food,18,13,5
199,666,0.375,Immigration,8,3,5
200,672,0.0,Transportation and Public Works,1,1,0
201,678,0.0,Immigration,5,0,5
202,682,0.0,Transportation and Public Works,1,1,0
203,704,0.0,Transportation and Public Works,1,0,1
204,793,0.49295774647887325,"Science, Technology, Communications",72,35,36
205,798,0.4482758620689655,"Science, Technology, Communications",29,13,16
206,799,0.4482758620689655,"Science, Technology, Communications",29,13,16
207,800,0.4482758620689655,"Science, Technology, Communications",29,13,16
208,801,0.4482758620689655,"Science, Technology, Communications",29,13,16
209,802,0.4482758620689655,"Science, Technology, Communications",29,13,16
210,804,0.0,Transportation and Public Works,2,2,0
211,805,0.0,International Affairs,2,0,2
212,806,0.0,International Affairs,2,0,2
213,807,0.0,Health,194,194,0
214,808,0.3939393939393939,"Science, Technology, Communications",33,20,13
215,811,0.0,Government Operations and Politics,1,0,1
216,820,0.3333333333333333,Transportation and Public Works,3,2,1
217,821,0.0,Health,3,0,2
218,822,0.0,"Science, Technology, Communications",1,1,0
219,823,0.0,Energy,1,1,0
220,826,0.0,Crime and Law Enforcement,1,1,0
221,828,0.42857142857142855,Health,7,3,4
222,829,0.0,Education,1,0,1
223,832,0.4,Environmental Protection,5,2,3
224,834,0.0,Transportation and Public Works,51,51,0
225,836,0.0,"Science, Technology, Communications",21,21,0
226,837,0.0,"Science, Technology, Communications",1,1,0
227,838,0.3333333333333333,Transportation and Public Works,3,2,1
228,839,0.3333333333333333,Transportation and Public Works,3,2,1
229,840,0.3333333333333333,Transportation and Public Works,3,2,1
230,841,0.0,Finance and Financial Sector,1,1,0
231,843,0.0,Housing and Community Development,1,1,0
232,844,0.0,Finance and Financial Sector,4,4,0
233,845,0.5,"Science, Technology, Communications",2,1,1
234,849,0.18181818181818182,Government Operations and Politics,11,9,2
235,850,0.0,Armed Forces and National Security,1,1,0
236,851,0.0,Armed Forces and National Security,1,0,1
237,852,0.36363636363636365,Foreign Trade and International Finance,11,4,7
238,854,0.5,"Science, Technology, Communications",2,1,1
239,855,0.0,"Science, Technology, Communications",1,0,1
240,860,0.42857142857142855,"Science, Technology, Communications",8,3,4
241,864,0.0,Energy,2,2,0
242,865,0.375,Crime and Law Enforcement,24,15,9
243,867,0.0,International Affairs,1,0,1
244,872,0.0,Armed Forces and National Security,2,0,2
245,878,0.0,Foreign Trade and International Finance,1,1,0
246,879,0.0,Immigration,1,0,1
247,880,0.0,Government Operations and Politics,1,0,1
248,881,0.0,Crime and Law Enforcement,1,1,0
249,882,0.0,Finance and Financial Sector,4,4,0
250,883,0.1111111111111111,"Science, Technology, Communications",18,16,2
251,885,0.4,International Affairs,5,2,3
252,886,0.0,"Arts, Culture, Religion",5,5,0
253,887,0.0,Crime and Law Enforcement,1,0,1
254,888,0.25,Crime and Law Enforcement,4,1,3
255,889,0.0,Commerce,1,1,0
256,891,0.0,Taxation,1,0,1
257,894,0.0,Energy,5,5,0
258,896,0.5,Government Operations and Politics,2,1,1
259,898,0.5,Health,2,1,1
260,901,0.0,Crime and Law Enforcement,3,0,3
261,902,0.0,"Science, Technology, Communications",3,3,0
262,904,0.0,Government Operations and Politics,1,0,1
263,905,0.0,Government Operations and Politics,2,0,2
264,906,0.42857142857142855,Government Operations and Politics,7,4,3
265,911,0.3333333333333333,"Science, Technology, Communications",3,1,2
266,914,0.4166666666666667,Crime and Law Enforcement,24,10,14
267,915,0.0,Health,1,1,0
268,917,0.4594594594594595,"Civil Rights and Liberties, Minority Issues",38,20,17
269,982,0.0136986301369863,Labor and Employment,219,216,3
270,984,0.3333333333333333,Foreign Trade and International Finance,3,1,2
271,985,0.3333333333333333,Foreign Trade and International Finance,3,1,2
272,986,0.3333333333333333,Foreign Trade and International Finance,3,1,2
273,988,0.0,International Affairs,49,0,49
274,990,0.0,International Affairs,49,0,49
275,993,0.0,International Affairs,49,0,49
276,994,0.0,International Affairs,49,0,49
277,999,0.5,Transportation and Public Works,4,2,2
278,1000,0.5,Transportation and Public Works,4,2,2
279,1001,0.0,International Affairs,10,0,10
280,1002,0.0,Government Operations and Politics,49,49,0
281,1007,0.0,Public Lands and Natural Resources,2,2,0
282,1009,0.5,"Science, Technology, Communications",64,32,32
283,1010,0.4827586206896552,Labor and Employment,29,14,15
284,1011,0.4,Energy,5,2,3
285,1014,0.3,Armed Forces and National Security,10,7,3
286,1161,0.3333333333333333,Armed Forces and National Security,3,1,2
287,1197,0.0,Finance and Financial Sector,1,1,0
288,1199,0.0,Health,1,1,0
289,1200,0.0,Government Operations and Politics,6,0,6
290,1201,0.0,"Science, Technology, Communications",1,1,0
291,1202,0.0,"Science, Technology, Communications",1,1,0
292,1203,0.3333333333333333,"Science, Technology, Communications",3,1,2
293,1205,0.0,Government Operations and Politics,1,0,1
294,1206,0.0,"Science, Technology, Communications",1,1,0
295,1208,0.08,Government Operations and Politics,25,23,2
296,1212,0.5,Armed Forces and National Security,2,1,1
297,1218,0.0,Health,1,0,1
298,1219,0.0,Education,2,2,0
299,1221,0.0,"Science, Technology, Communications",1,1,0
300,1222,0.2727272727272727,"Science, Technology, Communications",11,8,3
301,1223,0.4,"Science, Technology, Communications",5,3,2
302,1225,0.0,"Science, Technology, Communications",7,7,0
303,1227,0.0,Government Operations and Politics,1,1,0
304,1228,0.5,"Science, Technology, Communications",4,2,2
305,1230,0.0,Finance and Financial Sector,1,1,0
306,1231,0.4444444444444444,Taxation,9,4,5
307,1233,0.3333333333333333,International Affairs,3,1,2
308,1234,0.0,"Science, Technology, Communications",2,0,2
309,1239,0.0,"Science, Technology, Communications",3,3,0
310,1241,0.0,"Science, Technology, Communications",1,1,0
311,1242,0.4,Commerce,5,2,3
312,1243,0.14285714285714285,"Science, Technology, Communications",7,6,1
313,1244,0.15384615384615385,"Science, Technology, Communications",13,11,2
314,1245,0.0,Energy,4,0,4
315,1246,0.0,"Science, Technology, Communications",4,4,0
316,1247,0.0,"Science, Technology, Communications",1,0,1
317,1248,0.3333333333333333,Finance and Financial Sector,3,2,1
318,1249,0.0,Health,1,1,0
319,1251,0.0,"Science, Technology, Communications",1,0,1
320,1259,0.0,"Science, Technology, Communications",1,0,1
321,1269,0.0,Government Operations and Politics,4,4,0
322,1270,0.5,"Science, Technology, Communications",2,1,1
323,1274,0.0,Energy,1,0,1
324,1280,0.0,Government Operations and Politics,54,54,0
325,1283,0.0,Health,1,0,1
326,1288,0.0,"Science, Technology, Communications",1,1,0
327,1290,0.0,"Science, Technology, Communications",3,0,3
328,1293,0.47368421052631576,"Science, Technology, Communications",20,9,10
329,1297,0.0,Government Operations and Politics,2,0,2
330,1298,0.4482758620689655,Health,59,32,26
331,1303,0.0,Government Operations and Politics,1,0,1
332,1304,0.5,Commerce,2,1,1
333,1305,0.0,Government Operations and Politics,1,1,0
334,1306,0.0,Energy,2,2,0
335,1307,0.0,"Science, Technology, Communications",2,2,0
336,1310,0.3333333333333333,Transportation and Public Works,3,1,2
337,1311,0.0,Housing and Community Development,21,21,0
338,1312,0.0,"Science, Technology, Communications",3,3,0
339,1315,0.0,Agriculture and Food,1,1,0
340,1316,0.0,Government Operations and Politics,2,0,2
341,1319,0.0,Agriculture and Food,1,1,0
342,1337,0.3333333333333333,Commerce,3,2,1
343,1344,0.18181818181818182,Emergency Management,11,9,2
344,1346,0.0,International Affairs,1,1,0
345,1348,0.0,Health,41,41,0
346,1352,0.2608695652173913,Public Lands and Natural Resources,23,6,17
347,1353,0.2608695652173913,Public Lands and Natural Resources,23,6,17
348,1371,0.4,"Science, Technology, Communications",5,2,3
349,1374,0.1,Public Lands and Natural Resources,10,9,1
350,1375,0.1,Public Lands and Natural Resources,10,9,1
351,1391,0.0,Health,2,2,0
352,1392,0.0,Health,2,2,0
353,1679,0.0,Government Operations and Politics,1,0,1
354,1680,0.5,Health,2,1,1
355,1681,0.0,Crime and Law Enforcement,1,0,1
356,1685,0.0,"Civil Rights and Liberties, Minority Issues",14,14,0
357,1736,0.4166666666666667,Armed Forces and National Security,12,7,5
358,1737,0.4166666666666667,Armed Forces and National Security,12,7,5
359,1738,0.4166666666666667,Armed Forces and National Security,12,7,5
360,1739,0.4166666666666667,Armed Forces and National Security,12,7,5
361,1740,0.4166666666666667,Armed Forces and National Security,12,7,5
362,1741,0.4166666666666667,Armed Forces and National Security,12,7,5
363,1742,0.4166666666666667,Armed Forces and National Security,12,7,5
364,1743,0.4166666666666667,Armed Forces and National Security,12,7,5
365,1744,0.4166666666666667,Armed Forces and National Security,12,7,5
366,1745,0.4166666666666667,Armed Forces and National Security,12,7,5
367,1746,0.4166666666666667,Armed Forces and National Security,12,7,5
368,1747,0.4166666666666667,Armed Forces and National Security,12,7,5
369,1748,0.4166666666666667,Armed Forces and National Security,12,7,5
370,1749,0.4166666666666667,Armed Forces and National Security,12,7,5
371,1750,0.4166666666666667,Armed Forces and National Security,12,7,5
372,1751,0.4166666666666667,Armed Forces and National Security,12,7,5
373,1752,0.4166666666666667,Armed Forces and National Security,12,7,5
374,1753,0.4166666666666667,Armed Forces and National Security,12,7,5
375,1754,0.4166666666666667,Armed Forces and National Security,12,7,5
376,1755,0.4166666666666667,Armed Forces and National Security,12,7,5
377,1756,0.4166666666666667,Armed Forces and National Security,12,7,5
378,1757,0.4166666666666667,Armed Forces and National Security,12,7,5
379,1758,0.4166666666666667,Armed Forces and National Security,12,7,5
380,1886,0.0,Taxation,1,0,1
381,1887,0.3333333333333333,"Science, Technology, Communications",4,2,1
382,1891,0.5,Finance and Financial Sector,2,1,1
383,1894,0.0,Armed Forces and National Security,1,0,1
384,1900,0.0,Government Operations and Politics,1,1,0
385,1901,0.0,Commerce,1,1,0
386,1903,0.0,Health,1,0,1
387,1912,0.3333333333333333,Armed Forces and National Security,3,2,1
388,1913,0.0,Armed Forces and National Security,1,0,1
389,1920,0.0,Finance and Financial Sector,1,1,0
390,1921,0.5,Finance and Financial Sector,2,1,1
391,1923,0.0,Labor and Employment,1,0,1
392,1926,0.0,Government Operations and Politics,5,0,5
393,1927,0.0,"Science, Technology, Communications",1,0,1
394,1929,0.0,International Affairs,1,0,1
395,1975,0.0,Transportation and Public Works,4,4,0
396,1986,0.0,Labor and Employment,1,1,0
397,1987,0.0,Labor and Employment,1,1,0
398,1988,0.47619047619047616,"Science, Technology, Communications",21,11,10
399,1998,0.0,Economics and Public Finance,1,0,1
400,1999,0.0,Economics and Public Finance,1,0,1
401,2000,0.0,Economics and Public Finance,1,0,1
402,2001,0.0,Economics and Public Finance,1,0,1
403,2046,0.4,Energy,5,2,3
404,2297,0.5,Commerce,4,2,2
405,2304,0.25,Commerce,4,3,1
406,2312,0.5,Immigration,2,1,1
407,2315,0.0,Armed Forces and National Security,2,0,2
408,2325,0.0,Agriculture and Food,1,1,0
409,2334,0.0,Crime and Law Enforcement,1,0,1
410,2336,0.1875,Health,16,13,3
411,2345,0.47619047619047616,Immigration,21,10,11
412,2346,0.5,Transportation and Public Works,2,1,1
413,2347,0.3333333333333333,Armed Forces and National Security,3,1,2
414,2349,0.3333333333333333,Taxation,21,14,7
415,2351,0.0,Government Operations and Politics,1,1,0
416,2359,0.0,Commerce,17,17,0
417,2362,0.475,Armed Forces and National Security,40,19,21
418,2367,0.0,Agriculture and Food,2,0,2
419,2381,0.2857142857142857,Finance and Financial Sector,7,5,2
420,2387,0.3333333333333333,International Affairs,6,2,4
421,2390,0.0,Government Operations and Politics,6,0,6
422,2393,0.2,"Science, Technology, Communications",30,24,6
423,2396,0.25,Commerce,4,3,1
424,2401,0.0,"Science, Technology, Communications",1,1,0
425,2402,0.0,Energy,1,1,0
426,2403,0.0,"Science, Technology, Communications",1,0,1
427,2406,0.3333333333333333,"Science, Technology, Communications",3,2,1
428,2408,0.5,Health,4,2,2
429,2409,0.0,Health,1,0,0
430,2410,0.0,Energy,1,0,1
431,2411,0.0,Armed Forces and National Security,1,1,0
432,2412,0.0,Government Operations and Politics,1,0,1
433,2413,0.0,Public Lands and Natural Resources,1,0,1
434,2414,0.0,Public Lands and Natural Resources,5,0,5
435,2418,0.375,International Affairs,32,12,20
436,2419,0.3333333333333333,Transportation and Public Works,3,2,1
437,2420,0.4,"Science, Technology, Communications",5,2,3
438,2672,0.25,Energy,4,1,3
