,bioguide,name,party,state,cross_betweenness,cross_weighted_degree,total_degree,cross_ratio
213,C001114,"Sen. Curtis, John R. [R-UT]",R,UT,0.1454672716448146,22,250,0.088
61,F000466,"Rep. Fitzpatrick, Brian K. [R-PA-1]",R,PA,0.07761863323494689,373,446,0.8363228699551569
134,C001135,"Rep. Chavez-DeRemer, Lori [R-OR-5]",R,OR,0.05524501119979667,152,195,0.7794871794871795
47,B001287,"Rep. Bera, Ami [D-CA-6]",D,CA,0.054968313675505434,71,631,0.11251980982567353
241,P000613,"Rep. Panetta, Jimmy [D-CA-19]",D,CA,0.0478343329127368,54,511,0.10567514677103718
279,P000608,"Rep. Peters, Scott H. [D-CA-50]",D,CA,0.037089664011025696,67,294,0.22789115646258504
42,C001113,"Sen. Cortez Masto, Catherine [D-NV]",D,NV,0.03606478657902448,116,235,0.49361702127659574
210,R000608,"Sen. Rosen, Jacky [D-NV]",D,NV,0.035477375904317356,47,105,0.44761904761904764
162,P000595,"Sen. Peters, Gary C. [D-MI]",D,MI,0.03111799791567067,97,193,0.5025906735751295
217,M001157,"Rep. McCaul, Michael T. [R-TX-10]",R,TX,0.02777219622927641,136,158,0.8607594936708861
117,B001277,"Sen. Blumenthal, Richard [D-CT]",D,CT,0.023016834560105445,99,191,0.518324607329843
92,M001219,"Del. Moylan, James C. [R-GU-At Large]",R,GU,0.02177290147020741,321,473,0.678646934460888
86,C001103,"Rep. Carter, Earl L. ""Buddy"" [R-GA-1]",R,GA,0.021308368685005057,316,448,0.7053571428571429
283,D000632,"Rep. D'Esposito, Anthony [R-NY-4]",R,NY,0.017774542484051244,136,167,0.8143712574850299
14,K000398,"Rep. Kean, Thomas H. [R-NJ-7]",R,NJ,0.013216517418926316,234,374,0.6256684491978609
143,W000828,"Rep. Williams, Brandon [R-NY-22]",R,NY,0.01306635736229377,150,190,0.7894736842105263
152,B001288,"Sen. Booker, Cory A. [D-NJ]",D,NJ,0.012905178628193294,66,155,0.4258064516129032
9,O000019,"Rep. Obernolte, Jay [R-CA-23]",R,CA,0.01279209102831532,198,312,0.6346153846153846
166,C001097,"Rep. Cárdenas, Tony [D-CA-29]",D,CA,0.01219012336533779,35,570,0.06140350877192982
270,G000559,"Rep. Garamendi, John [D-CA-3]",D,CA,0.01219012336533779,35,465,0.07526881720430108
71,G000583,"Rep. Gottheimer, Josh [D-NJ-5]",D,NJ,0.011586320632123113,88,804,0.10945273631840796
128,H001081,"Rep. Hayes, Jahana [D-CT-5]",D,CT,0.010104657958217484,18,672,0.026785714285714284
122,K000383,"Sen. King, Angus S., Jr. [I-ME]",I,ME,0.008614174970207956,121,121,1.0
253,F000472,"Rep. Franklin, Scott [R-FL-18]",R,FL,0.008413765909430788,129,348,0.3706896551724138
148,M001206,"Rep. Morelle, Joseph D. [D-NY-25]",D,NY,0.00836475925788254,31,618,0.05016181229773463
228,C001119,"Rep. Craig, Angie [D-MN-2]",D,MN,0.007371951970585106,33,499,0.06613226452905811
32,T000468,"Rep. Titus, Dina [D-NV-1]",D,NV,0.0071037138275823804,53,444,0.11936936936936937
59,L000599,"Rep. Lawler, Michael [R-NY-17]",R,NY,0.006940992266106457,214,375,0.5706666666666667
191,D000230,"Rep. Davis, Donald G. [D-NC-1]",D,NC,0.006892180378547945,53,621,0.0853462157809984
11,T000478,"Rep. Tenney, Claudia [R-NY-24]",R,NY,0.0058894760138870645,113,204,0.553921568627451
75,T000487,"Rep. Tokuda, Jill N. [D-HI-2]",D,HI,0.005411213312695893,53,713,0.07433380084151472
251,L000560,"Rep. Larsen, Rick [D-WA-2]",D,WA,0.00540795981701775,36,562,0.06405693950177936
194,N000193,"Rep. Nunn, Zachary [R-IA-3]",R,IA,0.005393625162514744,152,206,0.7378640776699029
90,S000344,"Rep. Sherman, Brad [D-CA-32]",D,CA,0.00519095983064137,140,371,0.37735849056603776
41,T000250,"Sen. Thune, John [R-SD]",R,SD,0.004690837282525938,84,163,0.5153374233128835
50,A000376,"Rep. Allred, Colin Z. [D-TX-32]",D,TX,0.004678284168778384,51,632,0.08069620253164557
201,E000295,"Sen. Ernst, Joni [R-IA]",R,IA,0.0046022057213786025,50,104,0.4807692307692308
255,D000628,"Rep. Dunn, Neal P. [R-FL-2]",R,FL,0.004364778665816846,169,438,0.3858447488584475
99,M001221,"Rep. Molinaro, Marcus J. [R-NY-19]",R,NY,0.004332419967730645,150,199,0.7537688442211056
292,H001061,"Sen. Hoeven, John [R-ND]",R,ND,0.004091420073757516,46,84,0.5476190476190477
290,V000137,"Sen. Vance, J. D. [R-OH]",R,OH,0.004091420073757516,46,84,0.5476190476190477
35,H000601,"Sen. Hagerty, Bill [R-TN]",R,TN,0.004083587508574298,49,103,0.47572815533980584
231,J000301,"Rep. Johnson, Dusty [R-SD-At Large]",R,SD,0.0040441524839895035,21,61,0.3442622950819672
46,K000391,"Rep. Krishnamoorthi, Raja [D-IL-8]",D,IL,0.004043479492331971,36,692,0.05202312138728324
154,F000479,"Sen. Fetterman, John [D-PA]",D,PA,0.00395135938745537,95,191,0.4973821989528796
106,M000934,"Sen. Moran, Jerry [R-KS]",R,KS,0.003872835439235549,60,107,0.5607476635514018
49,S000522,"Rep. Smith, Christopher H. [R-NJ-4]",R,NJ,0.003532677962533098,14,209,0.06698564593301436
187,R000605,"Sen. Rounds, Mike [R-SD]",R,SD,0.0034868416474124354,58,105,0.5523809523809524
233,S001207,"Rep. Sherrill, Mikie [D-NJ-11]",D,NJ,0.0034420074698285267,39,635,0.06141732283464567
85,C001059,"Rep. Costa, Jim [D-CA-21]",D,CA,0.003441656377720054,161,731,0.22024623803009577
39,F000463,"Sen. Fischer, Deb [R-NE]",R,NE,0.003106539769004902,92,170,0.5411764705882353
257,S001209,"Rep. Spanberger, Abigail Davis [D-VA-7]",D,VA,0.0030166060606724495,38,596,0.06375838926174497
87,T000460,"Rep. Thompson, Mike [D-CA-4]",D,CA,0.0030022340592987867,151,816,0.18504901960784315
18,B001278,"Rep. Bonamici, Suzanne [D-OR-1]",D,OR,0.002917021856448492,136,971,0.1400617919670443
72,N000191,"Rep. Neguse, Joe [D-CO-2]",D,CO,0.002880475022840664,37,636,0.05817610062893082
120,G000359,"Sen. Graham, Lindsey [R-SC]",R,SC,0.0028337175726220985,58,104,0.5576923076923077
16,M001224,"Rep. Moran, Nathaniel [R-TX-1]",R,TX,0.0028041131562138093,74,152,0.4868421052631579
103,E000297,"Rep. Espaillat, Adriano [D-NY-13]",D,NY,0.0027093330357200003,10,532,0.018796992481203006
111,H001046,"Sen. Heinrich, Martin [D-NM]",D,NM,0.002586511359419001,128,268,0.47761194029850745
57,S001226,"Rep. Salinas, Andrea [D-OR-6]",D,OR,0.002561078402011833,15,559,0.026833631484794274
31,N000147,"Del. Norton, Eleanor Holmes [D-DC-At Lar",D,DC,0.00237517116416928,9,776,0.011597938144329897
179,N000179,"Rep. Napolitano, Grace F. [D-CA-32]",D,CA,0.002319549429376019,64,540,0.11851851851851852
38,B001236,"Sen. Boozman, John [R-AR]",R,AR,0.0022814441894186397,24,53,0.4528301886792453
34,C000880,"Sen. Crapo, Mike [R-ID]",R,ID,0.00227394109410574,67,143,0.46853146853146854
161,R000584,"Sen. Risch, James E. [R-ID]",R,ID,0.002254527040175755,40,81,0.49382716049382713
27,C001134,"Rep. Caraveo, Yadira [D-CO-8]",D,CO,0.0022302543201233693,110,678,0.16224188790560473
224,M001153,"Sen. Murkowski, Lisa [R-AK]",R,AK,0.002104509310127573,33,80,0.4125
0,R000595,"Sen. Rubio, Marco [R-FL]",R,FL,0.0020605895979189767,112,201,0.5572139303482587
288,H001079,"Sen. Hyde-Smith, Cindy [R-MS]",R,MS,0.0020168806936117895,62,131,0.4732824427480916
209,B001261,"Sen. Barrasso, John [R-WY]",R,WY,0.0019309888757217475,16,32,0.5
23,L000602,"Rep. Lee, Summer L. [D-PA-12]",D,PA,0.0018726987580066352,121,775,0.15612903225806452
20,R000305,"Rep. Ross, Deborah K. [D-NC-2]",D,NC,0.0018694668689365963,119,726,0.16391184573002754
29,M001227,"Rep. McClellan, Jennifer L. [D-VA-4]",D,VA,0.0018686733551706413,83,618,0.1343042071197411
202,S001217,"Sen. Scott, Rick [R-FL]",R,FL,0.0018128501513014178,89,169,0.5266272189349113
37,T000476,"Sen. Tillis, Thomas [R-NC]",R,NC,0.001766956272512544,79,163,0.48466257668711654
235,C001112,"Rep. Carbajal, Salud O. [D-CA-24]",D,CA,0.001755269116731245,9,538,0.016728624535315983
116,C001096,"Sen. Cramer, Kevin [R-ND]",R,ND,0.0017525546189815285,104,201,0.5174129353233831
30,F000476,"Rep. Frost, Maxwell [D-FL-10]",D,FL,0.0017290931343383242,82,598,0.13712374581939799
207,C001056,"Sen. Cornyn, John [R-TX]",R,TX,0.0017090438397683702,105,207,0.5072463768115942
110,C001035,"Sen. Collins, Susan M. [R-ME]",R,ME,0.001688802003274365,124,241,0.5145228215767634
28,S001208,"Rep. Slotkin, Elissa [D-MI-7]",D,MI,0.001684628928024407,83,552,0.1503623188405797
69,M000317,"Rep. Malliotakis, Nicole [R-NY-11]",R,NY,0.001622873519806252,15,20,0.75
3,M001222,"Rep. Miller, Max L. [R-OH-7]",R,OH,0.0016063377191543272,111,211,0.5260663507109005
198,H001089,"Sen. Hawley, Josh [R-MO]",R,MO,0.0015690718190530756,107,206,0.5194174757281553
223,D000618,"Sen. Daines, Steve [R-MT]",R,MT,0.001542907302162732,26,62,0.41935483870967744
196,B001319,"Sen. Britt, Katie Boyd [R-AL]",R,AL,0.0015423251069890441,40,73,0.547945205479452
2,L000397,"Rep. Lofgren, Zoe [D-CA-18]",D,CA,0.001494215466031211,121,728,0.1662087912087912
239,T000482,"Rep. Trahan, Lori [D-MA-3]",D,MA,0.0014899037677685932,38,597,0.06365159128978225
195,L000575,"Sen. Lankford, James [R-OK]",R,OK,0.0014488821727221635,98,189,0.5185185185185185
138,P000620,"Rep. Pettersen, Brittany [D-CO-7]",D,CO,0.001422492847066538,48,700,0.06857142857142857
135,V000129,"Rep. Valadao, David G. [R-CA-22]",R,CA,0.0013929424834262555,17,28,0.6071428571428571
205,R000618,"Sen. Ricketts, Pete [R-NE]",R,NE,0.001392035503138807,108,220,0.4909090909090909
247,V000138,"Rep. Vindman, Eugene Simon [D-VA-7]",D,VA,0.001349024494532496,6,29,0.20689655172413793
263,H001076,"Sen. Hassan, Margaret Wood [D-NH]",D,NH,0.001252761520798952,71,135,0.5259259259259259
146,M001225,"Rep. Mullin, Kevin [D-CA-15]",D,CA,0.0012371165403688316,45,663,0.06787330316742081
249,M001190,"Sen. Mullin, Markwayne [R-OK]",R,OK,0.0011883191804279848,21,60,0.35
112,R000615,"Sen. Romney, Mitt [R-UT]",R,UT,0.001175579345218643,26,51,0.5098039215686274
287,C001098,"Sen. Cruz, Ted [R-TX]",R,TX,0.0011484599135146534,18,49,0.3673469387755102
74,M001217,"Rep. Moskowitz, Jared [D-FL-23]",D,FL,0.0011454825910504685,15,506,0.029644268774703556
281,L000562,"Rep. Lynch, Stephen F. [D-MA-8]",D,MA,0.0011350449224644921,36,621,0.057971014492753624
102,S001200,"Rep. Soto, Darren [D-FL-9]",D,FL,0.0011282866931425473,10,505,0.019801980198019802
225,M001223,"Rep. Magaziner, Seth [D-RI-2]",D,RI,0.0011104808583780182,10,555,0.018018018018018018
53,W000795,"Rep. Wilson, Joe [R-SC-2]",R,SC,0.001105232611878689,16,255,0.06274509803921569
164,B001310,"Sen. Braun, Mike [R-IN]",R,IN,0.0010783093837904237,16,34,0.47058823529411764
62,D000633,"Rep. Duarte, John S. [R-CA-13]",R,CA,0.0010689160424653414,19,57,0.3333333333333333
153,S001194,"Sen. Schatz, Brian [D-HI]",D,HI,0.0010161723804862422,68,159,0.4276729559748428
155,W000817,"Sen. Warren, Elizabeth [D-MA]",D,MA,0.0009829000584177378,45,115,0.391304347826087
66,C001072,"Rep. Carson, Andre [D-IN-7]",D,IN,0.0009632217026145611,36,858,0.04195804195804196
186,Y000064,"Sen. Young, Todd [R-IN]",R,IN,0.0009295743954995274,54,103,0.5242718446601942
145,C001117,"Rep. Casten, Sean [D-IL-6]",D,IL,0.0009037529519696435,8,514,0.01556420233463035
33,H001090,"Rep. Harder, Josh [D-CA-9]",D,CA,0.0008908911902458468,28,514,0.054474708171206226
193,H001085,"Rep. Houlahan, Chrissy [D-PA-6]",D,PA,0.0008856461563125623,31,556,0.05575539568345324
93,W000826,"Rep. Wild, Susan [D-PA-7]",D,PA,0.0008585811224435508,131,754,0.17374005305039789
95,W000800,"Sen. Welch, Peter [D-VT]",D,VT,0.0008271602357296559,76,170,0.4470588235294118
10,F000459,"Rep. Fleischmann, Charles J. ""Chuck"" [R-",R,TN,0.0008117179318027083,76,364,0.2087912087912088
169,J000298,"Rep. Jayapal, Pramila [D-WA-7]",D,WA,0.0007943918717273341,31,625,0.0496
261,E000215,"Rep. Eshoo, Anna G. [D-CA-16]",D,CA,0.0007858873334263934,17,169,0.10059171597633136
13,C001129,"Rep. Collins, Mike [R-GA-10]",R,GA,0.0007658619135731591,87,395,0.22025316455696203
91,G000551,"Rep. Grijalva, Raúl M. [D-AZ-7]",D,AZ,0.0007523255838327186,120,888,0.13513513513513514
276,N000194,"Rep. Nickel, Wiley [D-NC-13]",D,NC,0.000738837299368235,31,558,0.05555555555555555
192,C001133,"Rep. Ciscomani, Juan [R-AZ-6]",R,AZ,0.0007101152600869194,25,55,0.45454545454545453
68,M000194,"Rep. Mace, Nancy [R-SC-1]",R,SC,0.0007059289973724145,18,32,0.5625
248,V000136,"Rep. Vasquez, Gabe [D-NM-2]",D,NM,0.0007006810670411778,6,85,0.07058823529411765
22,S001215,"Rep. Stevens, Haley M. [D-MI-11]",D,MI,0.000669335657101112,133,766,0.17362924281984335
177,J000309,"Rep. Jackson, Jonathan L. [D-IL-1]",D,IL,0.0006684774876511187,36,698,0.05157593123209169
165,B001303,"Rep. Blunt Rochester, Lisa [D-DE-At Larg",D,DE,0.0006684493981098648,31,578,0.05363321799307959
215,S001181,"Sen. Shaheen, Jeanne [D-NH]",D,NH,0.0006609890561412653,62,129,0.4806201550387597
119,H000273,"Sen. Hickenlooper, John W. [D-CO]",D,CO,0.000634965643994747,97,186,0.521505376344086
173,L000582,"Rep. Lieu, Ted [D-CA-36]",D,CA,0.0006167905772043365,40,767,0.05215123859191656
244,M001237,"Rep. McDonald Rivet, Kristen [D-MI-8]",D,MI,0.0006137958817001458,4,17,0.23529411764705882
19,F000477,"Rep. Foushee, Valerie P. [D-NC-4]",D,NC,0.0006071780840547494,130,886,0.14672686230248308
189,L000593,"Rep. Levin, Mike [D-CA-49]",D,CA,0.0006002811126696447,28,540,0.05185185185185185
275,K000381,"Rep. Kilmer, Derek [D-WA-6]",D,WA,0.0005960971356855495,33,581,0.05679862306368331
188,M001163,"Rep. Matsui, Doris O. [D-CA-7]",D,CA,0.0005891364890251035,33,621,0.05314009661835749
240,M001196,"Rep. Moulton, Seth [D-MA-6]",D,MA,0.0005846997670809949,32,586,0.05460750853242321
206,M001169,"Sen. Murphy, Christopher [D-CT]",D,CT,0.0005435291364584392,38,82,0.4634146341463415
48,P000616,"Rep. Phillips, Dean [D-MN-3]",D,MN,0.0005133130086467095,33,575,0.057391304347826085
212,W000437,"Sen. Wicker, Roger F. [R-MS]",R,MS,0.0005038846572545677,83,148,0.5608108108108109
242,L000578,"Rep. LaMalfa, Doug [R-CA-1]",R,CA,0.0004886854118747967,6,210,0.02857142857142857
246,C001126,"Rep. Carey, Mike [R-OH-15]",R,OH,0.0004886854118747967,6,12,0.5
222,W000805,"Sen. Warner, Mark R. [D-VA]",D,VA,0.0004827296435837891,90,173,0.5202312138728323
83,D000624,"Rep. Dingell, Debbie [D-MI-6]",D,MI,0.0004350051505390367,145,943,0.1537645811240721
96,W000802,"Sen. Whitehouse, Sheldon [D-RI]",D,RI,0.0004307824467951005,85,180,0.4722222222222222
156,L000491,"Rep. Lucas, Frank D. [R-OK-3]",R,OK,0.0004240438709184583,9,9,1.0
140,K000393,"Sen. Kennedy, John [R-LA]",R,LA,0.00040391581445805154,18,45,0.4
115,K000384,"Sen. Kaine, Tim [D-VA]",D,VA,0.00037869040591738027,103,199,0.5175879396984925
104,B001230,"Sen. Baldwin, Tammy [D-WI]",D,WI,0.00037400341423793023,69,161,0.42857142857142855
226,G000593,"Rep. Gimenez, Carlos A. [R-FL-28]",R,FL,0.0003677831309548809,11,24,0.4583333333333333
24,S001225,"Rep. Sorensen, Eric [D-IL-17]",D,IL,0.0003625937614855536,97,600,0.16166666666666665
159,J000288,"Rep. Johnson, Henry C. ""Hank"" [D-GA-4]",D,GA,0.0003314860913990669,4,532,0.007518796992481203
174,R000617,"Rep. Ramirez, Delia C. [D-IL-3]",D,IL,0.0003314860913990669,4,615,0.0065040650406504065
